x,y,species cloglog values
1.0,1.0,0.4295647
2.0,2.0,0.38286224
3.0,3.0,0.6945588
4.0,4.0,0.018043434
5.0,5.0,0.16718605
6.0,6.0,0.51212215
7.0,7.0,0.20830294
8.0,8.0,0.17947556
9.0,9.0,0.43112648
10.0,10.0,0.4398634
11.0,11.0,0.24244449
12.0,12.0,0.60099506
13.0,13.0,0.59417355
14.0,14.0,0.51805043
15.0,15.0,0.03535678
16.0,16.0,0.37533727
17.0,17.0,0.28490648
18.0,18.0,0.09463166
19.0,19.0,0.40885368
20.0,20.0,0.030633911
21.0,21.0,0.20158926
22.0,22.0,0.21038759
23.0,23.0,0.47050026
24.0,24.0,0.41203558
25.0,25.0,0.3341573
26.0,26.0,0.46250188
27.0,27.0,0.7578672
28.0,28.0,0.43893832
29.0,29.0,0.16572976
30.0,30.0,0.016711524
31.0,31.0,0.011833273
32.0,32.0,0.1413576
33.0,33.0,0.20656404
34.0,34.0,0.35183147
35.0,35.0,0.020256108
36.0,36.0,0.00781478
37.0,37.0,0.006294186
38.0,38.0,0.0039208177
39.0,39.0,0.006889932
40.0,40.0,0.045945812
41.0,41.0,0.40095124
42.0,42.0,0.3903043
43.0,43.0,0.24101985
44.0,44.0,0.32466123
45.0,45.0,0.50573194
46.0,46.0,0.027827678
47.0,47.0,0.2457095
48.0,48.0,0.3088396
49.0,49.0,0.5716922
50.0,50.0,0.5186622
51.0,51.0,0.2781822
52.0,52.0,0.47084463
53.0,53.0,0.5880429
54.0,54.0,0.046414368
55.0,55.0,0.01425487
56.0,56.0,0.09008263
57.0,57.0,0.5468528
58.0,58.0,0.02101022
59.0,59.0,0.16490503
60.0,60.0,0.30857036
61.0,61.0,0.09401284
62.0,62.0,0.10943966
63.0,63.0,0.3948567
64.0,64.0,0.28477812
65.0,65.0,0.5741318
66.0,66.0,0.35500187
67.0,67.0,0.21999933
68.0,68.0,0.5987629
69.0,69.0,0.39705825
70.0,70.0,0.34527576
71.0,71.0,0.07811369
72.0,72.0,0.08952874
73.0,73.0,0.13643767
74.0,74.0,0.17018875
75.0,75.0,0.19611663
76.0,76.0,0.49352503
77.0,77.0,0.46613747
78.0,78.0,0.5498149
79.0,79.0,0.3357361
80.0,80.0,0.31832075
81.0,81.0,0.33276865
82.0,82.0,0.012143264
83.0,83.0,0.0031951135
84.0,84.0,0.008350228
85.0,85.0,0.07315391
