Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.91688E-12,0.000000001,0.000000001,0.983836964,0,0
3.58145E-12,0.000000003,0.000000003,0.982431483,0,0
1.11069E-11,0.00000001,0.000000008,0.980323261,0,0
2.37098E-11,0.000000026,0.000000018,0.978215039,0,0
7.19946E-11,0.000000107,0.000000053,0.973998595,0,0
1.37931E-10,0.000000262,0.000000102,0.970719138,0,0
4.95932E-10,0.000001019,0.000000367,0.964862966,0,0
1.02835E-9,0.000002507,0.000000761,0.959943781,0,0
2.61374E-9,0.000010143,0.000001935,0.949871164,0,0
5.11536E-9,0.000025286,0.000003787,0.940735535,0,0
7.7498E-9,0.000050353,0.000005737,0.931599906,0,0
1.3871E-8,0.000100806,0.000010269,0.920590302,0,0
2.58362E-8,0.000251217,0.000019127,0.902319044,0,0
4.22429E-8,0.000503747,0.000031273,0.884750527,0,0
8.08023E-8,0.001005952,0.000059818,0.865308035,0,0
1.7007E-7,0.002508859,0.000125898,0.836495666,0,0
2.9334E-7,0.005003895,0.000217141,0.810962755,0,0
4.8344E-7,0.010011907,0.000357835,0.780744905,0,0
9.57267E-7,0.025000335,0.000708431,0.731787304,0,0
1.68728E-6,0.050058256,0.001248341,0.685640665,0,0
3.16641E-6,0.100245496,0.002341405,0.636448817,0,0
5.7616E-6,0.200162377,0.004256335,0.582103537,0,0
8.37837E-6,0.300552071,0.00618346,0.548371984,0,0
1.06507E-5,0.400443721,0.007853889,0.523541813,0,0
1.25834E-5,0.500875112,0.009272479,0.503162333,0,0
1.46211E-5,0.601035862,0.010765891,0.485828063,0,0
1.68446E-5,0.700700365,0.012392961,0.471070508,0,0
1.78622E-5,0.751163085,0.013136631,0.464277348,0,0
1.87654E-5,0.800686011,0.01379634,0.457952682,0,0
2.05682E-5,0.90096339,0.015111655,0.44600609,0,0
2.28206E-5,1.001148115,0.016752585,0.435230733,0,0
2.49574E-5,1.101671375,0.018306767,0.425392364,0,0
2.69458E-5,1.200824489,0.019750837,0.416490981,0,0
2.92201E-5,1.30199936,0.021399887,0.408058093,0,0
3.105E-5,1.402365471,0.022724676,0.400327946,0,0
3.29798E-5,1.502195445,0.024119927,0.393066292,0,0
3.92637E-5,1.752715982,0.028649264,0.376669009,0,0
4.49558E-5,2.000222922,0.032733822,0.362848442,0,0
5.0401E-5,2.254581678,0.03662521,0.350433357,0,0
5.62742E-5,2.504921923,0.04080494,0.339423753,0,0
6.23487E-5,2.755670638,0.045108792,0.329585383,0,0
6.95002E-5,3.005162434,0.050151035,0.320684001,0,0
7.6482E-5,3.254644724,0.055047897,0.312719606,0.025,0
8.11087E-5,3.505939513,0.058278983,0.305223706,0.025,0
8.86167E-5,3.758812771,0.06349888,0.298196299,0.025,0
9.39508E-5,4.006146685,0.067189727,0.291871633,0.025,0
1.00403E-4,4.250538942,0.071635149,0.28601546,0.025,0
1.06689E-4,4.508143711,0.075944929,0.280159288,0.025,0
1.12876E-4,4.750422328,0.080167638,0.275005856,0.025,0
1.19399E-4,5.006728576,0.08459926,0.269852424,0.025,0
1.26165E-4,5.25358523,0.089172959,0.265167487,0.025,0
1.31051E-4,5.510686076,0.092461331,0.260482549,0.025,0
1.37446E-4,5.752904329,0.096748362,0.256266104,0.05,0
1.43697E-4,6.005331007,0.10091841,0.25204966,0.05,0
