x,y,species cloglog values
1.0,1.0,0.46964344
2.0,2.0,0.87001175
3.0,3.0,0.76478845
4.0,4.0,0.7955504
5.0,5.0,0.21822985
6.0,6.0,0.6840554
7.0,7.0,0.24220677
8.0,8.0,0.6887732
9.0,9.0,0.29342607
10.0,10.0,0.6649264
11.0,11.0,0.79120255
12.0,12.0,0.07815693
13.0,13.0,0.06896772
14.0,14.0,0.058599185
15.0,15.0,0.52449954
16.0,16.0,0.10899158
17.0,17.0,0.6334667
18.0,18.0,0.23849566
19.0,19.0,0.8310258
20.0,20.0,0.49915877
21.0,21.0,0.6461452
22.0,22.0,0.56713176
23.0,23.0,0.19353469
24.0,24.0,0.042688306
25.0,25.0,0.04467126
26.0,26.0,0.16486584
27.0,27.0,0.34967744
28.0,28.0,0.36400196
29.0,29.0,0.045917764
30.0,30.0,0.033195417
31.0,31.0,0.024848282
32.0,32.0,0.03329054
33.0,33.0,0.03785304
34.0,34.0,0.059110805
35.0,35.0,0.14094386
36.0,36.0,0.4053535
37.0,37.0,0.39908046
38.0,38.0,0.610171
39.0,39.0,0.40695915
40.0,40.0,0.64180714
41.0,41.0,0.65602404
42.0,42.0,0.4936114
43.0,43.0,0.5414967
44.0,44.0,0.66520965
45.0,45.0,0.07397042
46.0,46.0,0.10692915
47.0,47.0,0.7221724
48.0,48.0,0.10265795
49.0,49.0,0.4394954
50.0,50.0,0.15504418
51.0,51.0,0.12053714
52.0,52.0,0.17284468
53.0,53.0,0.17728265
54.0,54.0,0.6458074
55.0,55.0,0.5561967
56.0,56.0,0.5724904
57.0,57.0,0.32342714
58.0,58.0,0.5880726
59.0,59.0,0.44880486
60.0,60.0,0.14675702
61.0,61.0,0.2330838
62.0,62.0,0.3010589
63.0,63.0,0.53266275
64.0,64.0,0.6398764
65.0,65.0,0.66887164
66.0,66.0,0.6019184
67.0,67.0,0.55315745
68.0,68.0,0.04260116
69.0,69.0,0.029526742
70.0,70.0,0.034121063
71.0,71.0,0.6846092
72.0,72.0,0.6330277
73.0,73.0,0.23505837
74.0,74.0,0.07451102
75.0,75.0,0.04664288
76.0,76.0,0.061787467
77.0,77.0,0.024128018
78.0,78.0,0.019994782
79.0,79.0,0.039678574
80.0,80.0,0.36496654
81.0,81.0,0.70587
82.0,82.0,0.53476685
83.0,83.0,0.6897325
84.0,84.0,0.3147496
85.0,85.0,0.34590214
86.0,86.0,0.19545142
87.0,87.0,0.075238615
88.0,88.0,0.1724262
89.0,89.0,0.14924884
90.0,90.0,0.53923005
91.0,91.0,0.4480218
92.0,92.0,0.41184658
93.0,93.0,0.023611922
94.0,94.0,0.30531076
95.0,95.0,0.06789694
96.0,96.0,0.039349556
97.0,97.0,0.05603781
98.0,98.0,0.65367717
99.0,99.0,0.6926433
100.0,100.0,0.10319337
101.0,101.0,0.14297399
102.0,102.0,0.3948177
103.0,103.0,0.22224192
104.0,104.0,0.037161525
105.0,105.0,0.029647382
106.0,106.0,0.015005261
107.0,107.0,0.010666031
108.0,108.0,0.29788834
109.0,109.0,0.020720143
110.0,110.0,0.7706216
111.0,111.0,0.7000243
112.0,112.0,0.94796747
113.0,113.0,0.6927476
114.0,114.0,0.5728605
115.0,115.0,0.35658768
116.0,116.0,0.5261553
117.0,117.0,0.21480279
118.0,118.0,0.032894015
119.0,119.0,0.014474058
120.0,120.0,0.011642795
121.0,121.0,0.031479053
122.0,122.0,0.23302558
123.0,123.0,0.048411377
124.0,124.0,0.028143037
125.0,125.0,0.06706068
126.0,126.0,0.04297968
127.0,127.0,0.25376028
128.0,128.0,0.4281897
129.0,129.0,0.38300493
130.0,130.0,0.04727539
131.0,131.0,0.30297908
132.0,132.0,0.022201072
133.0,133.0,0.012865295
134.0,134.0,0.025170248
135.0,135.0,0.03950937
136.0,136.0,0.10916251
137.0,137.0,0.17234553
138.0,138.0,0.44001463
139.0,139.0,0.06768575
140.0,140.0,0.037668273
141.0,141.0,0.055503793
142.0,142.0,0.16796815
143.0,143.0,0.07203116
144.0,144.0,0.12638576
145.0,145.0,0.41084632
146.0,146.0,0.033525195
147.0,147.0,0.038151003
148.0,148.0,0.04647193
149.0,149.0,0.15394741
150.0,150.0,0.09977522
151.0,151.0,0.1832681
152.0,152.0,0.013154608
153.0,153.0,0.37221357
154.0,154.0,0.86857146
155.0,155.0,0.8357941
156.0,156.0,0.7564919
157.0,157.0,0.30472368
158.0,158.0,0.24845074
159.0,159.0,0.09253934
160.0,160.0,0.039191734
161.0,161.0,0.034893222
162.0,162.0,0.017894171
163.0,163.0,0.023453943
164.0,164.0,0.013951669
165.0,165.0,0.038040854
166.0,166.0,0.21890724
167.0,167.0,0.04206657
168.0,168.0,0.06359609
169.0,169.0,0.20401315
170.0,170.0,0.32842466
171.0,171.0,0.05463497
172.0,172.0,0.49490353
173.0,173.0,0.019217195
174.0,174.0,0.018873459
175.0,175.0,0.032218598
176.0,176.0,0.0436051
177.0,177.0,0.043804277
178.0,178.0,0.4446672
179.0,179.0,0.046665862
180.0,180.0,0.040093027
181.0,181.0,0.048752297
182.0,182.0,0.40098253
183.0,183.0,0.22552186
184.0,184.0,0.35888967
185.0,185.0,0.42188588
186.0,186.0,0.3766789
187.0,187.0,0.34601355
188.0,188.0,0.095788315
189.0,189.0,0.012397863
190.0,190.0,0.090228185
191.0,191.0,0.02333102
192.0,192.0,0.03129599
193.0,193.0,0.16031645
194.0,194.0,0.3308265
195.0,195.0,0.05000187
196.0,196.0,0.036677394
197.0,197.0,0.7771116
198.0,198.0,0.1622135
199.0,199.0,0.37321344
200.0,200.0,0.36422625
201.0,201.0,0.023508761
202.0,202.0,0.0090838885
203.0,203.0,0.016301887
204.0,204.0,0.012640249
205.0,205.0,0.009797288
206.0,206.0,0.0132349515
207.0,207.0,0.010164644
208.0,208.0,0.014600074
209.0,209.0,0.025883276
210.0,210.0,0.06479868
211.0,211.0,0.2824713
212.0,212.0,0.09942572
213.0,213.0,0.054573555
214.0,214.0,0.24973951
215.0,215.0,0.30527884
216.0,216.0,0.42696124
217.0,217.0,0.027411222
218.0,218.0,0.03320142
219.0,219.0,0.016218852
220.0,220.0,0.01888057
221.0,221.0,0.019051917
222.0,222.0,0.034472134
223.0,223.0,0.026043475
224.0,224.0,0.03144299
225.0,225.0,0.057903513
226.0,226.0,0.36096835
227.0,227.0,0.4907099
228.0,228.0,0.3796087
229.0,229.0,0.533481
230.0,230.0,0.61168474
231.0,231.0,0.102244176
232.0,232.0,0.23756303
233.0,233.0,0.53514236
234.0,234.0,0.5164465
235.0,235.0,0.41584986
236.0,236.0,0.2733697
