Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.35066E-12,0.000000001,0.000000002,0.983134223,0,0
4.53657E-12,0.000000003,0.000000004,0.981962989,0,0
9.74106E-12,0.000000011,0.000000009,0.979386273,0,0
2.47918E-11,0.000000025,0.000000022,0.977512298,0,0
9.8957E-11,0.000000101,0.000000089,0.974701335,0,0
1.97444E-10,0.000000266,0.000000177,0.972124619,0,0
5.75057E-10,0.000001008,0.000000516,0.968142422,0,0
1.07309E-9,0.000002512,0.000000963,0.963925978,0,0
4.25104E-9,0.000010288,0.000003816,0.956430077,0,0
8.04754E-9,0.000025361,0.000007223,0.950573905,0,0
1.57221E-8,0.000050821,0.000014112,0.945186226,0,0
2.81522E-8,0.000100302,0.000025269,0.939798548,0,0
5.74479E-8,0.000253931,0.000051563,0.931131413,0,0
9.40664E-8,0.000503926,0.00008443,0.923401265,0,0
1.72526E-7,0.001014389,0.000154846,0.914265636,0,0
3.59106E-7,0.002525533,0.000322278,0.900679316,0,0
5.52577E-7,0.005021779,0.000495866,0.888029984,0,0
9.57999E-7,0.010013828,0.000859522,0.871866948,0,0
1.71017E-6,0.025030468,0.001533859,0.846099789,0,0
2.79303E-6,0.050176295,0.002503864,0.819864137,0,0
4.27429E-6,0.10010972,0.00382922,0.787303818,0,0
7.0858E-6,0.200013671,0.006339967,0.745842118,0,0
8.99586E-6,0.300068346,0.008042099,0.716561256,0,0
1.08121E-5,0.400555866,0.009657935,0.692668072,0,0
1.23896E-5,0.501100187,0.01105923,0.672288592,0,0
1.37969E-5,0.600365097,0.012307626,0.654485828,0,0
1.51634E-5,0.700743475,0.013518295,0.638322792,0,0
1.57462E-5,0.750400879,0.014034242,0.630826892,0,0
1.63921E-5,0.800268528,0.014605668,0.623565238,0,0
1.77563E-5,0.901005994,0.015811553,0.609744671,0,0
1.90549E-5,1.000475549,0.016958038,0.597095338,0,0
2.04569E-5,1.101396354,0.018194352,0.585148747,0,0
2.15644E-5,1.200216843,0.01916989,0.574139143,0,0
2.29733E-5,1.300350171,0.020409505,0.563598032,0,0
2.41264E-5,1.401571443,0.02142286,0.553525416,0,0
2.52331E-5,1.502504933,0.022394435,0.543921293,0,0
2.76298E-5,1.751051418,0.024495302,0.521902085,0,0
3.05978E-5,2.001494527,0.027090604,0.501756852,0.021276596,0
3.34296E-5,2.252128693,0.02956042,0.483485594,0.021276596,0
3.64855E-5,2.500871415,0.0322186,0.466854064,0.021276596,0
3.92258E-5,2.751547384,0.034596103,0.451393769,0.021276596,0
4.20561E-5,3.003033871,0.037045557,0.436870461,0.021276596,0
4.44086E-5,3.253756338,0.0390768,0.423284141,0.021276596,0
4.66016E-5,3.503691609,0.040966426,0.410400562,0.021276596,0
4.94885E-5,3.754228397,0.04344829,0.398219724,0.021276596,0
5.18957E-5,4.002634908,0.04551288,0.386741626,0.021276596,0
5.45609E-5,4.252900201,0.047793556,0.375732022,0.021276596,0
5.83291E-5,4.500209469,0.051008727,0.365425158,0.021276596,0
6.13397E-5,4.751241215,0.053569771,0.355586788,0.021276596,0
6.44752E-5,5.003518092,0.056229656,0.346216913,0.021276596,0
6.76872E-5,5.254301781,0.058946642,0.337315531,0.021276596,0
7.23344E-5,5.505880821,0.062863906,0.328882642,0.042553191,0
7.63064E-5,5.750680225,0.066199049,0.321152495,0.042553191,0
8.00554E-5,6.001173809,0.069336048,0.313656594,0.042553191,0
8.45564E-5,6.2562318,0.073088424,0.30639494,0.042553191,0
8.92551E-5,6.508407036,0.076989418,0.29960178,0.042553191,0
