X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.002614652724221776,72.594857664505,0.9043337619759874
2.0,2.0,train,2.861935442476402E-4,15.081336329323566,0.22654274144001196
3.0,3.0,train,0.0039881185355471966,78.72640478521866,0.9721159642813354
4.0,4.0,train,6.809877634238014E-5,5.2765827202973625,0.05929423994164584
5.0,5.0,train,0.0014862128283286598,58.829626786958336,0.7365816621115264
6.0,6.0,train,0.009553083271764315,95.85628523408332,0.9998111892768763
7.0,7.0,train,0.0011043460384096585,48.520451496135856,0.6288880540332704
8.0,8.0,train,0.005353580726469183,82.92330613174353,0.9918139851540869
9.0,9.0,train,0.0024059930468017516,69.83062337403604,0.8846285894560051
10.0,10.0,train,0.0017263023692023543,63.00797384147546,0.7876488873081033
11.0,11.0,train,0.002666513552507127,73.1250504628444,0.9086849502582255
12.0,12.0,train,9.78131782045256E-4,44.65365527408104,0.584371184749741
13.0,13.0,train,5.816403564770275E-4,27.772781486343824,0.40671203410405865
14.0,14.0,train,0.014525127035867549,98.52675174319123,0.9999978231448098
15.0,15.0,train,8.415151285008622E-4,38.7401574304655,0.5301476361113613
16.0,16.0,train,7.840467845545597E-4,36.753217882541776,0.5052752150240496
17.0,17.0,train,0.0031894035165555084,75.49471274556117,0.9428902947912816
18.0,18.0,train,0.004203263603370893,79.56562131736509,0.9770126983054005
19.0,19.0,train,0.004462962529090265,80.8692053633421,0.9817924118662977
20.0,20.0,train,0.014734385847015134,99.99990036524609,0.9999981959171431
21.0,21.0,train,0.005807973772684143,84.63422745493824,0.994555707047352
22.0,22.0,train,5.804414981934464E-4,27.663411998446364,0.4060732622576382
23.0,23.0,train,0.0038145234658408123,77.94417151572384,0.967414357656314
24.0,24.0,train,0.0029310078341781174,74.2749847567818,0.9279825956828605
25.0,25.0,train,7.638376772402208E-4,35.7037148590117,0.49621925725252736
26.0,26.0,train,0.0024773326331097565,71.05123530061717,0.8917846978519631
27.0,27.0,train,0.00246179068473789,70.80348779285275,0.8902644807204808
28.0,28.0,train,7.570967542031774E-4,35.287180862451976,0.493161843938135
29.0,29.0,train,6.677978700087007E-4,31.83966047740441,0.45086426826897585
30.0,30.0,train,0.008545868659076476,93.094437211235,0.9995337079122991
31.0,31.0,train,0.006041935600803679,86.4303816754657,0.9955869512923314
32.0,32.0,train,6.61010032535986E-4,31.252936245039656,0.44750833347733643
33.0,33.0,train,4.4240977939940883E-4,21.61799390804564,0.32773536835691497
34.0,34.0,train,7.089353000750833E-4,33.31227107160985,0.4707711000088066
35.0,35.0,train,0.005753350534552226,84.05341899611811,0.9942821249315312
36.0,36.0,train,0.0061333934279247425,87.04377192432348,0.9959347550182713
37.0,37.0,train,0.0014470261975235705,58.1163076310261,0.7271514197758588
38.0,38.0,train,0.0016940976161663476,62.147533160905226,0.7814209341725148
39.0,39.0,train,3.4857280046645685E-4,17.751006706645416,0.2686593720107836
40.0,40.0,train,0.00134039157581362,55.80201314212466,0.6997452410298012
41.0,41.0,train,1.0530315612045163E-4,7.395816214891,0.0901897417824683
42.0,42.0,train,8.551458973981722E-4,39.82837903329417,0.5358611909785098
43.0,43.0,train,5.470550950979464E-4,26.08166310412086,0.3880054829878057
44.0,44.0,train,0.008607941936771476,93.95523865731303,0.9995589775441729
45.0,45.0,train,4.139769577049102E-4,20.457691426697828,0.3103576590972811
46.0,46.0,train,2.591777986315558E-4,13.599624324315212,0.20755784498922736
47.0,47.0,train,2.8418026292038555E-5,1.817562820686549,0.02518520158035109
