x,y,species cloglog values
1.0,1.0,0.36208296
2.0,2.0,0.3366237
3.0,3.0,0.8108561
4.0,4.0,0.63810503
5.0,5.0,0.64057577
6.0,6.0,0.024134882
7.0,7.0,0.10222454
8.0,8.0,0.54466456
9.0,9.0,0.18988693
10.0,10.0,0.14179194
11.0,11.0,0.47544995
12.0,12.0,0.52936035
13.0,13.0,0.59944934
14.0,14.0,0.5704776
15.0,15.0,0.6355719
16.0,16.0,0.03219164
17.0,17.0,0.03743064
18.0,18.0,0.37549052
19.0,19.0,0.06587963
20.0,20.0,0.47847337
21.0,21.0,0.023757443
22.0,22.0,0.16781545
23.0,23.0,0.269206
24.0,24.0,0.40425664
25.0,25.0,0.54487586
26.0,26.0,0.44324264
27.0,27.0,0.6480539
28.0,28.0,0.62671924
29.0,29.0,0.1299173
30.0,30.0,0.020419322
31.0,31.0,0.087145306
32.0,32.0,0.20624903
33.0,33.0,0.025901718
34.0,34.0,0.01264398
35.0,35.0,0.009760775
36.0,36.0,0.006874771
37.0,37.0,0.01878633
38.0,38.0,0.033340603
39.0,39.0,0.090350114
40.0,40.0,0.31589133
41.0,41.0,0.015492589
42.0,42.0,0.25375232
43.0,43.0,0.30851907
44.0,44.0,0.59312534
45.0,45.0,0.5580521
46.0,46.0,0.39266434
47.0,47.0,0.5033465
48.0,48.0,0.42469284
49.0,49.0,0.4323225
50.0,50.0,0.59760755
51.0,51.0,0.03125161
52.0,52.0,0.040268168
53.0,53.0,0.018719913
54.0,54.0,0.06892511
55.0,55.0,0.027284164
56.0,56.0,0.057590533
57.0,57.0,0.29906338
58.0,58.0,0.07598957
59.0,59.0,0.11696531
60.0,60.0,0.13262843
61.0,61.0,0.3683992
62.0,62.0,0.34621117
63.0,63.0,0.62915343
64.0,64.0,0.46099642
65.0,65.0,0.5733852
66.0,66.0,0.63631546
67.0,67.0,0.5050484
68.0,68.0,0.48609582
69.0,69.0,0.15336053
70.0,70.0,0.14764525
71.0,71.0,0.17459908
72.0,72.0,0.5808392
73.0,73.0,0.5937191
74.0,74.0,0.5820969
75.0,75.0,0.2899423
76.0,76.0,0.43357968
77.0,77.0,0.021553034
78.0,78.0,0.0056681386
79.0,79.0,0.066895954
80.0,80.0,0.04083968
81.0,81.0,0.086712584
82.0,82.0,0.45772904
83.0,83.0,0.15277687
84.0,84.0,0.050018325
85.0,85.0,0.66148996
86.0,86.0,0.01790549
87.0,87.0,0.03237719
88.0,88.0,0.05168105
89.0,89.0,0.011198443
90.0,90.0,0.012398636
91.0,91.0,0.009916836
92.0,92.0,0.04308076
93.0,93.0,0.4094471
94.0,94.0,0.5908153
95.0,95.0,0.45425582
96.0,96.0,0.6133844
97.0,97.0,0.30033746
98.0,98.0,0.01725028
99.0,99.0,0.04163416
100.0,100.0,0.6057564
101.0,101.0,0.46659064
102.0,102.0,0.11819513
103.0,103.0,0.07862722
104.0,104.0,0.43170613
105.0,105.0,0.42272985
106.0,106.0,0.3362733
107.0,107.0,0.019046668
108.0,108.0,0.003951339
109.0,109.0,0.017691093
110.0,110.0,0.03376596
111.0,111.0,0.1819708
112.0,112.0,0.05522629
113.0,113.0,0.015269346
114.0,114.0,0.04058867
115.0,115.0,0.53352547
116.0,116.0,0.6285406
117.0,117.0,0.052517474
118.0,118.0,0.14298995
119.0,119.0,0.070352316
120.0,120.0,0.3202675
121.0,121.0,0.21541212
122.0,122.0,0.022072814
123.0,123.0,0.004792405
124.0,124.0,0.0027985284
125.0,125.0,0.0027544103
126.0,126.0,0.012646272
127.0,127.0,0.42711955
128.0,128.0,0.0074817454
129.0,129.0,0.016409803
130.0,130.0,0.10476151
131.0,131.0,0.62251264
132.0,132.0,0.9331823
133.0,133.0,0.45911437
134.0,134.0,0.24123941
135.0,135.0,0.4897211
136.0,136.0,0.2072831
137.0,137.0,0.0075502344
138.0,138.0,0.008297982
139.0,139.0,0.14919831
140.0,140.0,0.034126807
141.0,141.0,0.039818034
142.0,142.0,0.17192198
143.0,143.0,0.33792287
144.0,144.0,0.32191628
145.0,145.0,0.03284413
146.0,146.0,0.0062819
147.0,147.0,0.0057992353
148.0,148.0,0.017731627
149.0,149.0,0.08612668
150.0,150.0,0.08342232
151.0,151.0,0.34025678
152.0,152.0,0.051181428
153.0,153.0,0.017799933
154.0,154.0,0.037306093
155.0,155.0,0.1141698
156.0,156.0,0.31926498
157.0,157.0,0.057604734
158.0,158.0,0.36055303
159.0,159.0,0.03706898
160.0,160.0,0.018383417
161.0,161.0,0.016007312
162.0,162.0,0.11056862
163.0,163.0,0.17321792
164.0,164.0,0.006096229
165.0,165.0,0.009720745
166.0,166.0,0.05029058
167.0,167.0,0.29503995
168.0,168.0,0.7835646
169.0,169.0,0.6789176
170.0,170.0,0.73353547
171.0,171.0,0.28649318
172.0,172.0,0.19823684
173.0,173.0,0.07663946
174.0,174.0,0.019452058
175.0,175.0,0.01758011
176.0,176.0,0.016162222
177.0,177.0,0.0068717846
178.0,178.0,0.0037550658
179.0,179.0,0.023936793
180.0,180.0,0.025582116
181.0,181.0,0.035470117
182.0,182.0,0.066982485
183.0,183.0,0.11644074
184.0,184.0,0.0153804235
185.0,185.0,0.22551186
186.0,186.0,0.020361809
187.0,187.0,0.0056157275
188.0,188.0,0.0028273347
189.0,189.0,0.0017713188
190.0,190.0,0.0054773656
191.0,191.0,0.008474576
192.0,192.0,0.022644842
193.0,193.0,0.029044652
194.0,194.0,0.435516
195.0,195.0,0.20019303
196.0,196.0,0.02987694
197.0,197.0,0.025994327
198.0,198.0,0.03763546
199.0,199.0,0.028679144
200.0,200.0,0.31338575
201.0,201.0,0.2487635
202.0,202.0,0.29671592
203.0,203.0,0.40478882
204.0,204.0,0.28873643
205.0,205.0,0.009843465
206.0,206.0,0.0023986467
207.0,207.0,0.008738432
208.0,208.0,0.39770094
209.0,209.0,0.04644772
210.0,210.0,0.037513055
211.0,211.0,0.89303035
212.0,212.0,0.030358937
213.0,213.0,0.10048718
214.0,214.0,0.27194974
215.0,215.0,0.00487344
216.0,216.0,0.006440043
217.0,217.0,0.009474395
218.0,218.0,0.00248441
219.0,219.0,0.0018201525
220.0,220.0,0.0068490603
221.0,221.0,0.17585786
222.0,222.0,0.07246911
223.0,223.0,0.04907214
224.0,224.0,0.29894006
225.0,225.0,0.3284868
226.0,226.0,0.03666371
227.0,227.0,0.12155615
228.0,228.0,0.18696596
229.0,229.0,0.3440651
230.0,230.0,0.01629742
231.0,231.0,0.0077543007
232.0,232.0,0.0013379401
233.0,233.0,0.001364529
234.0,234.0,0.0017202911
235.0,235.0,0.0068117627
236.0,236.0,0.006946816
237.0,237.0,0.01587743
238.0,238.0,0.25176144
239.0,239.0,0.40908995
240.0,240.0,0.3005043
241.0,241.0,0.33077624
242.0,242.0,0.44257563
243.0,243.0,0.058437515
244.0,244.0,0.2095318
245.0,245.0,0.6080765
246.0,246.0,0.6386713
247.0,247.0,0.48731336
248.0,248.0,0.2378227
249.0,249.0,0.23452123
250.0,250.0,0.017302837
