Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.91088E-12,0.000000001,0.000000001,0.978683532,0,0
3.15966E-12,0.000000003,0.000000002,0.977512298,0,0
1.0505E-11,0.00000001,0.000000007,0.974232841,0,0
2.31208E-11,0.000000026,0.000000016,0.971890372,0,0
6.97577E-11,0.000000107,0.000000049,0.967673928,0,0
1.37571E-10,0.000000252,0.000000096,0.964628719,0,0
4.3E-10,0.000001018,0.0000003,0.958069806,0,0
1.05617E-9,0.000002587,0.000000737,0.952916374,0,0
2.99362E-9,0.000010152,0.000002089,0.944249239,0,0
6.32197E-9,0.000025465,0.000004412,0.936284844,0,0
1.00433E-8,0.000050554,0.000007009,0.929257437,0,0
1.82651E-8,0.000101259,0.000012746,0.920590302,0,0
3.46043E-8,0.000250399,0.000024148,0.907003982,0,0
5.54719E-8,0.000501186,0.000038709,0.893886156,0,0
9.19259E-8,0.001005309,0.000064147,0.877488873,0,0
1.82E-7,0.002511847,0.000126997,0.852190208,0,0
3.14009E-7,0.005013938,0.000219102,0.828297025,0,0
5.37642E-7,0.010006046,0.000375114,0.800421644,0,0
1.01129E-6,0.025091536,0.000705462,0.753572265,0,0
1.78681E-6,0.05006552,0.001246121,0.71093933,0,0
3.21353E-6,0.100275464,0.002239993,0.661981729,0,0
5.67764E-6,0.200463059,0.003954206,0.608104943,0,0
7.96071E-6,0.300167868,0.005539848,0.573436402,0,0
9.98958E-6,0.400556372,0.006946816,0.54720075,0,0
1.18505E-5,0.500088169,0.008235591,0.525884282,0,0
1.40102E-5,0.600753555,0.009729176,0.507613024,0,0
1.6344E-5,0.701018916,0.011340595,0.492152729,0,0
1.71885E-5,0.751013642,0.011923032,0.485125322,0,0
1.8033E-5,0.800477003,0.012505185,0.478566409,0,0
1.99189E-5,0.901164459,0.013803911,0.466151323,0,0
2.18326E-5,1.001460235,0.015120074,0.454907472,0,0
2.38697E-5,1.101836579,0.016519106,0.444600609,0,0
2.55226E-5,1.200780965,0.017652838,0.435230733,0,0
2.72824E-5,1.301294733,0.018858451,0.426329351,0,0
2.88667E-5,1.402206109,0.01994258,0.417896463,0,0
3.03683E-5,1.500028262,0.020969018,0.410166315,0,0
3.47506E-5,1.751346044,0.023958479,0.392129304,0,0
